"ID","Title","Sku","Product Type","_enable_custom_addons","_enable_text_field_nombre_persona","_enable_text_field_fecha_evento","_enable_text_field_localidad","_enable_text_field_iglesia","_enable_text_field_hora_misa","_enable_text_field_restaurante","_enable_text_field_observaciones","_enable_text_field_ano_curso","_enable_text_field_hora_evento","_enable_text_field_inicial","_text_field_option_nombre_persona","_text_field_option_fecha_evento"
"19768","LÁMINA DE NACIMIENTO MARRÓN","AP-10000","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA NACIMIENTO"
"19769","LÁMINA DE NACIMIENTO AZUL","AP-10002","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA NACIMIENTO"
"19771","LAMINA ABECEDARIO CON NOMBRE","AP-10004","simple","","","","","","","","","","","","",""
"19968","LÁMINA PERSONALIZADA CON FECHAS Y DATOS IMPORTANTES","AP-10005","variable","","","","","","","","","","","","",""
"19972","LÁMINA GATO GRIS MIAU","AP-10009","variable","","","","","","","","","","","","",""
"19996","INVITACIÓN DE COMUNIÓN DE NIÑA","AP-10014","variable","","yes","yes","yes","yes","yes","yes","yes","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"20002","INVITACIÓN DE COMUNIÓN DE NIÑO","AP-10016","variable","","yes","yes","yes","yes","no","yes","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"20008","LIBRO DEL PRIMER AÑO DEL BEBÉ PERSONALIZADO","AP-10018","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE BEBÉ ",""
"20015","RECORDATORIO DE COMUNIÓN DE NIÑA","AP-10042","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"20021","RECORDATORIO DE COMUNIÓN DE NIÑO","AP-10045","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"20060","LIBRO DE FIRMAS DE COMUNIÓN MORADO Y PERSONALIZADO (NIÑA)","AP-10048","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
