ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,,,_enable_text_field_frase_texto,_enable_text_field_numero_cuenta,_enable_text_field_menu
26578,"LIBRO DE FIRMAS DE TELA DE BODA colección ""flores moradas""",5,NOMBRE NOVIOS,on,,off,,off,,off,,,off,off,off
26588,"LIBRO DE FIRMAS DE TELA DE BODA COLECCIÓN  ""ramas eucalipto""",5,NOMBRE NOVIOS,on,,off,,off,,off,,,off,off,off
27632,"INVITACIÓN BODA colección ""HORTENSIA""",5,NOMBRE NOVIOS,on,FECHA BODA,on,"FRASE/TEXTO
",on,LOCALIDAD,off,,,on,off,off
27640,"ETIQUETA CUADRADA BODA colección ""HORTENSIA""",4,NOMBRE NOVIOS,on,FECHA BODA,on,IGLESIA,off,LOCALIDAD,off,,,off,off,off
27647,"ETIQUETAS REDONDAS BODA colección ""HORTENSIA""",2,NOMBRE NOVIOS,on,FECHA BODA,on,,off,,off,,,off,off,off
27659,"TARJETA LISTA DE BODA colección ""HORTENSIA""",3,NOMBRE NOVIOS,on,FRASE/TEXTO,on,NUMERO CUENTA,on,,off,,,on,on,off
27662,"MENÚ DE BODA colección ""HORTENSIA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
27668,"TARJETA AGRADECIMIENTO colección ""HORTENSIA""",3,NOMBRE NOVIOS,on,FRASE/TEXTO,on,NUMERO CUENTA,on,,off,,,on,on,off
27674,"TARJETA PARA NOMBRES DE MESAS colección ""HORTENSIA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
27675,"MISAL colección ""HORTENSIA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
27676,"MESERO colección ""HORTENSIA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
27680,"INVITACIÓN BODA colección ""GRANATE""",5,NOMBRE NOVIOS,on,FECHA BODA,on,"FRASE/TEXTO
",on,LOCALIDAD,off,,,on,off,off
27693,"MESERO colección ""GRANATE""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
