ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled,_enable_custom_addons,_enable_text_field_nombre_persona,_enable_text_field_fecha_evento,_enable_text_field_localidad,_enable_text_field_iglesia,_enable_text_field_hora_misa,_enable_text_field_restaurante,_enable_text_field_observaciones,_enable_text_field_ano_curso,_enable_text_field_hora_evento,_enable_text_field_inicial
38064,BOTE PARA CHUCHES CON ETIQUETA DIBUJO NIÑA COMUNIÓN TIPO ACUARELA,5,NOMBRE,on,FECHA,on,IGLESIA,off,HORA MISA,off,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,,,,,,,,on,on,off,off,off,on,off,,off,off
38314,PULSERA CON CRUZ MONTADA EN TARJETA CON DIBUJO DE NIÑA,5,NOMBRE,on,FECHA,on,IGLESIA,off,HORA MISA,off,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,,,,,,,,on,on,off,off,off,on,off,,off,off
39087,PACK PULSERA CON CRUZ MONTADA EN TARJETA CON DIBUJO DE NIÑA,5,NOMBRE,on,FECHA,on,IGLESIA,off,HORA MISA,off,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,,,,,,,,on,on,off,off,off,on,off,,off,off
37925,INVITACIÓN DIGITAL CON DIBUJO NIÑA COMUNIÓN TIPO ACUARELA,6,NOMBRE,on,FECHA,on,IGLESIA,on,HORA MISA,on,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,LOCALIDAD,on,,,,,,on,on,on,on,on,on,off,,off,off
37891,INVITACIÓN DIGITAL CON DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,5,NOMBRE,on,FECHA,on,IGLESIA,on,HORA MISA,on,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,,,,,,,,on,on,off,on,on,on,off,,off,off
38028,BOTE PARA CHUCHES CON ETIQUETA DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,5,NOMBRE,on,FECHA,on,IGLESIA,off,HORA MISA,off,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,off,,,,,,,,on,on,off,off,off,off,off,,off,off
38302,PULSERA CON CRUZ MONTADA EN TARJETA CON DIBUJO DE NIÑO,5,NOMBRE,on,FECHA,on,IGLESIA,off,HORA MISA,off,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,off,,,,,,,,on,on,off,off,off,off,off,,off,off
39092,PACK PULSERA CON CRUZ MONTADA EN TARJETA CON DIBUJO DE NIÑO,5,NOMBRE,on,FECHA,on,IGLESIA,off,HORA MISA,off,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,off,,,,,,,,on,on,off,off,off,off,off,,off,off
20002,INVITACIÓN DE COMUNIÓN DE NIÑO,5,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,,,,,,,,on,on,on,on,off,on,off,,off,off
20867,INVITACIÓN DE COMUNIÓN DE NIÑA CON CIRCULO,5,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,RESTAURANTE/ LUGAR DE CELEBRACIÓN ,on,,,,,,,,on,on,on,on,off,on,off,,off,off
