ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
19768,LÁMINA DE NACIMIENTO MARRÓN,5,NOMBRE DEL BEBÉ,on,FECHA DE NACIMIENTO,on,LUGAR DE NACIMIENTO,on,PESO DEL BEBÉ EN GR,on,MEDIDA DEL BEBÉ EN CM,on,,,,,,
19769,LÁMINA DE NACIMIENTO AZUL,5,NOMBRE DEL BEBÉ,on,FECHA DE NACIMIENTO,on,LUGAR DE NACIMIENTO,on,PESO DEL BEBÉ EN GR,on,MEDIDA DEL BEBÉ EN CM,on,,,,,,
19771,LAMINA ABECEDARIO CON NOMBRE,1,,off,,,,,,,,,,,,,,
19968,LÁMINA PERSONALIZADA CON FECHAS Y DATOS IMPORTANTES,1,,off,,,,,,,,,,,,,,
19972,LÁMINA GATO GRIS MIAU,1,,off,,,,,,,,,,,,,,
19996,INVITACIÓN DE COMUNIÓN DE NIÑA,7,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,IGLESIA,on,LOCALIDAD,on,LUGAR DEL CONVITE,on,HORA DE LA MISA,on,OBSERVACIONES SOBRE EL PEDIDO,on,,
20002,INVITACIÓN DE COMUNIÓN DE NIÑO,5,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,IGLESIA,on,LOCALIDAD,on,LUGAR DEL CONVITE,on,,,,,,
20008,LIBRO DEL PRIMER AÑO DEL BEBÉ PERSONALIZADO,1,Nombre del bebé ,on,,,,,,,,,,,,,,
20015,RECORDATORIO DE COMUNIÓN DE NIÑA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
20021,RECORDATORIO DE COMUNIÓN DE NIÑO,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
20060,LIBRO DE FIRMAS DE COMUNIÓN MORADO Y PERSONALIZADO (NIÑA),5,NOMBRE DE LA NIÑA,on,APELLIDOS DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LUGAR DE LA COMUNIÓN,on,,,,,,
20062,"CAJA DE PALOMITAS PARA CHUCHES PARA COMUNIÓN, BAUTIZO, BODA O CUMPLEAÑOS",2,NOMBRE,on,FECHA,on,,,,,,,,,,,,
20118,LÁMINA DE NACIMIENTO DELICADA,5,NOMBRE DEL BEBÉ,on,FECHA DE NACIMIENTO,on,LUGAR DE NACIMIENTO,on,PESO DEL BEBÉ,off,MEDIDA EN CM DEL BEBÉ,on,,,,,,
20207,LIBRO DE FIRMAS BAUTIZO CON BEBE DORMIDO,4,NOMBRE DEL BEBÉ,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD DEL BAUTIZO,on,,,,,,,,
20377,LIBRO DE FIRMAS BAUTIZO CON BEBE SONRIENTE,4,NOMBRE DEL BEBÉ,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD DEL BAUTIZO,on,,,,,,,,
20416,KIT PARA FIESTA - BAUTIZO (NIÑA),2,NOMBRE,on,FECHA DE LA BAUTIZO,on,,,,,,,,,,,,
20429,KIT PARA FIESTA - BAUTIZO (NIÑO),2,NOMBRE,on,FECHA DE LA BAUTIZO,on,,,,,,,,,,,,
20454,ETIQUETAS REDONDAS DE COMUNION (NIÑA),2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
20467,ETIQUETA REDONDA DE COMUNIÓN  DE NIÑO,2,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
20481,ETIQUETAS REDONDAS PARA BAUTIZO,2,NOMBRE DEL NIÑO,on,FECHA DEL BAUTIZO,on,,,,,,,,,,,,
