ID,Tipo,SKU,Nombre,Publicado,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Categorías Principales,Subcategorías,Etiquetas
20008,variable,AP-10018,LIBRO DEL PRIMER AÑO DEL BEBÉ PERSONALIZADO,1,0,0,,,,,0,,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","Foto, Infantil, Personalizado, Recuerdo, Regalo"
20060,variable,AP-10048,LIBRO DE FIRMAS DE COMUNIÓN MORADO Y PERSONALIZADO (NIÑA),-1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recuerdo, Regalo"
20207,variable,AP-10061,LIBRO DE FIRMAS BAUTIZO CON BEBE DORMIDO,-1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
20377,variable,AP-10065,LIBRO DE FIRMAS BAUTIZO CON BEBE SONRIENTE,-1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
20624,variable,AP-10093,LIBRO DE FIRMAS DE COMUNION  EN KRAFT CON GUIRNALDA DE FLORES,-1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Infantil, Libro de firma, Libro de firmas, Personalizado, Recuerdo, Regalo"
20630,variable,AP-10105,LIBRO DE FIRMAS DE COMUNION  EN KRAFT CON ETIQUETA REDONDA,-1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","COMUNIÓN, Infantil, Libro de firma, Libro de firmas, Personalizado, Recuerdo, Regalo"
20637,variable,AP-10123,LIBRO DE FIRMAS DE COMUNION  EN KRAFT CON ETIQUETA REDONDA AZUL DE NIÑO,-1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","COMUNIÓN, Infantil, Libro de firma, Libro de firmas, Personalizado, Recuerdo, Regalo"
20978,variable,AP-10172,ETIQUETA LUNARES,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
20995,variable,AP-10175,ETIQUETA ESTRELLITAS,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
21009,variable,AP-10177,"LIBRO DE FIRMAS BAUTIZO CON ELEFANTE, LEON O JIRAFA",1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
