"ID","Tipo","SKU","Nombre","Publicado","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías","Etiquetas"
19768,"variable","AP-10000","LÁMINA DE NACIMIENTO MARRÓN",1,0,0,,,,,1,,,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Infantil, Personalizado, Recuerdo, Regalo"
19769,"variable","AP-10002","LÁMINA DE NACIMIENTO AZUL",1,0,0,,,,,0,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Infantil, Personalizado, Recuerdo, Regalo"
19771,"simple","AP-10004","LAMINA ABECEDARIO CON NOMBRE",1,0,0,,,,,0,,,"18,50","BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Decoración, Personalizado, Regalo"
19968,"variable","AP-10005","LÁMINA PERSONALIZADA CON FECHAS Y DATOS IMPORTANTES",1,0,0,,,,,0,,,,"BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Decoración, Personalizado, Regalo"
19972,"variable","AP-10009","LÁMINA GATO GRIS MIAU",1,0,0,,,,,0,,,,"BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS",
19996,"variable","AP-10014","INVITACIÓN DE COMUNIÓN DE NIÑA",1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > INVITACIONES, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
20002,"variable","AP-10016","INVITACIÓN DE COMUNIÓN DE NIÑO",1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > INVITACIONES, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
20008,"variable","AP-10018","LIBRO DEL PRIMER AÑO DEL BEBÉ PERSONALIZADO",1,0,0,,,,,0,,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","Foto, Infantil, Personalizado, Recuerdo, Regalo"
20015,"variable","AP-10042","RECORDATORIO DE COMUNIÓN DE NIÑA",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
20021,"variable","AP-10045","RECORDATORIO DE COMUNIÓN DE NIÑO",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","COMUNIÓN, Etiquetas, Infantil, Personalizado, Recuerdo, Regalo"
20060,"variable","AP-10048","LIBRO DE FIRMAS DE COMUNIÓN MORADO Y PERSONALIZADO (NIÑA)",-1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recuerdo, Regalo"
20062,"variable","AP-10056","CAJA DE PALOMITAS PARA CHUCHES PARA COMUNIÓN, BAUTIZO, BODA O CUMPLEAÑOS",1,0,0,,,,,0,,,,"COMUNIÓN, COMUNIÓN > DETALLES COMUNIÓN, BAUTIZO - BEBÉ > DETALLES BAUTIZO > CAJAS - BOLSITAS, DETALLES > CAJAS - BOLSITAS, COMUNIÓN > DETALLES COMUNIÓN > CAJAS - BOLSITAS - TARROS",
20118,"variable","AP-10059","LÁMINA DE NACIMIENTO DELICADA",1,0,0,,,,,1,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Infantil, Personalizado, Recuerdo, Regalo"
20207,"variable","AP-10061","LIBRO DE FIRMAS BAUTIZO CON BEBE DORMIDO",-1,0,0,,,,,0,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
20377,"variable","AP-10065","LIBRO DE FIRMAS BAUTIZO CON BEBE SONRIENTE",-1,0,0,,,,,0,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
20416,"variable","AP-10076","KIT PARA FIESTA - BAUTIZO (NIÑA)",1,0,0,,,,,1,,,,"OTROS","Bautizo, FIESTAS, Infantil, Personalizado"
20429,"variable","AP-10079","KIT PARA FIESTA - BAUTIZO (NIÑO)",1,0,0,,,,,1,,,,"OTROS","Bautizo, FIESTAS, Infantil, Personalizado"
20454,"variable","AP-10082","ETIQUETAS REDONDAS DE COMUNION (NIÑA)",1,0,0,,,,,1,,,,"COMUNIÓN, COMUNIÓN > ETIQUETAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
20467,"variable","AP-10085","ETIQUETA REDONDA DE COMUNIÓN  DE NIÑO",1,0,0,,,,,0,,,,"COMUNIÓN, COMUNIÓN > ETIQUETAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
20481,"variable","AP-10088","ETIQUETAS REDONDAS PARA BAUTIZO",1,0,0,,,,,1,,,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, Fiesta, Infantil, Personalizado"
20573,"variable","AP-10091","LÁMINA DE NACIMIENTO CON ANIMALITOS DEL BOSQUE",1,0,0,,,,,1,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Infantil, Nacimiento, Personalizado, Recuerdo, Regalo"
20624,"variable","AP-10093","LIBRO DE FIRMAS DE COMUNION  EN KRAFT CON GUIRNALDA DE FLORES",-1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Infantil, Libro de firma, Libro de firmas, Personalizado, Recuerdo, Regalo"
20630,"variable","AP-10105","LIBRO DE FIRMAS DE COMUNION  EN KRAFT CON ETIQUETA REDONDA",-1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","COMUNIÓN, Infantil, Libro de firma, Libro de firmas, Personalizado, Recuerdo, Regalo"
20637,"variable","AP-10123","LIBRO DE FIRMAS DE COMUNION  EN KRAFT CON ETIQUETA REDONDA AZUL DE NIÑO",-1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","COMUNIÓN, Infantil, Libro de firma, Libro de firmas, Personalizado, Recuerdo, Regalo"
20803,"variable","AP-10131","LIBRO DE FIRMAS DE COMUNION  CON  FLORES ROSAS",-1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
20828,"variable","AP-10149","LÁMINA DE COMUNIÓN DE NIÑA PERSONALIZADA CON NOMBRE",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión"", COMUNIÓN > LÁMINAS","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
20834,"variable","AP-10155","LÁMINA DE COMUNIÓN DE NIÑO PERSONALIZADA CON NOMBRE",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión"", COMUNIÓN > LÁMINAS","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
20867,"variable","AP-10159","INVITACIÓN DE COMUNIÓN DE NIÑA CON CIRCULO",1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > INVITACIONES, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Infantil, Invitación, Personalizado, Recuerdo, Regalo"
20875,"variable","AP-10161","INVITACIÓN DE COMUNIÓN DE NIÑO CON CÍRCULO",1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > INVITACIONES, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","COMUNIÓN, Infantil, Invitación, Personalizado, Recuerdo, Regalo"
20900,"variable","AP-10163","RECORDATORIO CUADRADO CON FLORES AZULES",-1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS","COMUNIÓN, Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
20906,"variable","AP-10166","RECORDATORIO CUADRADO CON FLORES ROSAS",-1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
20964,"variable","AP-10169","ETIQUETA LEÓN",1,0,0,,,,,1,,,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
20978,"variable","AP-10172","ETIQUETA LUNARES",1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
20995,"variable","AP-10175","ETIQUETA ESTRELLITAS",1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
